Event Time (UTC),Analytics Event Type,Latitude,Longitude,GPS Time (UTC),Device OS,Device OS Version,Device Model,Device Language,City Name,Country / Region,App Version
2019-12-18 23:59:19.185,impression,29.633333333333333,-95.4,2019-12-18 23:59:18.998,ios,12.4.2,"iPhone7,1",en_US,"",US,1.218.10008
2019-12-18 23:59:19.031,custom,29.633333333333333,-95.4,2019-12-18 23:59:18.998,ios,12.4.2,"iPhone7,1",en_US,"",US,1.218.10008
2019-12-18 23:59:19.237,impression,29.633333333333333,-95.4,2019-12-18 23:59:18.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:19.186,impression,29.633333333333333,-95.4,2019-12-18 23:59:18.998,ios,12.4.2,"iPhone7,1",en_US,"",US,1.218.10008
2019-12-18 23:59:19.221,impression,29.633333333333333,-95.4,2019-12-18 23:59:18.998,ios,12.4.2,"iPhone7,1",en_US,"",US,1.218.10008
2019-12-18 23:59:20.222,custom,29.633333333333333,-95.4,2019-12-18 23:59:19.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.265,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:19.238,impression,29.633333333333333,-95.4,2019-12-18 23:59:18.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:19.369,custom,29.633333333333333,-95.4,2019-12-18 23:59:18.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.268,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.266,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.265,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.268,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.268,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.286,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.294,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.286,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.289,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.311,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.352,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.295,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.353,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.498,impression,29.633333333333333,-95.41666666666667,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.612,impression,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.354,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.906,impression,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.906,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.906,impression,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-18 23:59:20.906,custom,29.633333333333333,-95.4,2019-12-18 23:59:20.998,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10008
2019-12-23 20:24:37.500,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:36.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:37.512,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:36.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:37.972,tap,29.627509703887277,-95.40607801647428,2019-12-23 20:24:36.999,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:31.422,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:30.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:31.432,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:30.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:33.320,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:32.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:31.427,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:30.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:31.428,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:30.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:31.435,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:30.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:31.434,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:30.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:33.322,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:32.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:33.323,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:32.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:33.324,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:32.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
